URL Searched,Still There,Moved,New URL,Repo ID
https://github.com/moby/spdystream,True,False,https://github.com/moby/spdystream,20544129.0
https://github.com/google/taglesscrm,False,False,,
https://github.com/gsa/staging-review,False,False,,
https://github.com/enterprise-cmcs/palet,False,False,,
https://github.com/cdcgov/erhms-info-manager,False,False,,
https://github.com/alphagov/re-team-manual,False,False,,
https://github.com/sunpy/old-package-template,False,False,,
https://github.com/scikit-hep/uproot3,True,False,https://github.com/scikit-hep/uproot3,102874853.0
https://github.com/sagold/gson-pointer,True,True,https://github.com/sagold/json-pointer,73638221.0
https://github.com/jakartaee/jax-ws-api,True,False,https://github.com/jakartaee/jax-ws-api,148361798.0
https://github.com/paradigm4/llsg,False,False,,
https://github.com/department-of-veterans-affairs/design-system,True,True,https://github.com/department-of-veterans-affairs/design-system-OLD,103283288.0
https://github.com/pivotal-cf/docs-rabbitmq-pcf,False,False,,
https://github.com/bitnami/azure-marketplace-charts,False,False,,
https://github.com/pivotal-cf/docs-vmware-harbor,False,False,,
https://github.com/pivotal-cf/docs-aws-services,False,False,,
https://github.com/pivotal-cf/docs-pcf-windows,False,False,,
https://github.com/pivotal-cf/docs-tiledev,False,False,,
https://github.com/pivotal-cf/docs-pas,False,False,,
https://github.com/vmware/transport-typescript,True,True,https://github.com/vmware-archive/transport-typescript,267477204.0
https://github.com/bbc/matterhorn,False,False,,
https://github.com/jakartaee/saaj-api,True,False,https://github.com/jakartaee/saaj-api,146575720.0
https://github.com/greenplum-db/pivotalr,False,False,,
https://github.com/css-modules/icss-replace-symbols,True,True,https://github.com/css-modules/icss-utils,42766912.0
https://github.com/conda-forge/numpy-sugar-feedstock,False,False,,
https://github.com/vmware/vcd-cli,True,True,https://github.com/vmware-archive/vcd-cli,27605383.0
https://github.com/vmware/cloud-director-ext-emulators,True,True,https://github.com/vmware-archive/cloud-director-ext-emulators,308595432.0
https://gitlab.com/gitlab-org/gitlab,False,False,,
https://github.com/apache/causeway-app-petclinic,True,False,https://github.com/apache/causeway-app-petclinic,195791429.0
https://github.com/vmware-archive/perl-net-sharepoint-basic,True,False,https://github.com/vmware-archive/perl-net-sharepoint-basic,167426117.0
https://github.com/azure/ap5gc-partner-tools,True,True,https://github.com/Azure/AP5GC-Vendor-Tools,603199656.0
https://github.com/microsoft/cbl-marinervulnerabilitydata,True,True,https://github.com/microsoft/AzureLinuxVulnerabilityData,318640052.0
https://github.com/vmware-archive/snapshot-diff-library,True,False,https://github.com/vmware-archive/snapshot-diff-library,366147404.0
https://github.com/vmware-archive/vrealize-suite-lifecycle-manager-sdk,True,False,https://github.com/vmware-archive/vrealize-suite-lifecycle-manager-sdk,108947856.0
https://github.com/vmware-archive/ansible-role-microsoft-azure-iot,True,False,https://github.com/vmware-archive/ansible-role-microsoft-azure-iot,153465794.0
