old_url,still_there,moved,new_url,repo_src_id
https://github.com/cfpb/complaint-prototypes,False,False,,
https://github.com/microsoft/geneva,False,False,,
https://github.com/vmware-samples/vrealize-automation-content-generator,True,True,https://github.com/vmware-archive/vrealize-automation-content-generator,378111793
https://github.com/canonical/lxd-agent-loader,False,False,,
https://github.com/vmware/vcd-ext-sdk,True,True,https://github.com/vmware-archive/vcd-ext-sdk,121799175
https://github.com/hdrhistogram/hdrhistogram-go,True,False,https://github.com/HdrHistogram/hdrhistogram-go,21802784
https://github.com/warrant-dev/warrant-cloudflare-workers,False,False,,
https://github.com/scilifelabdatacentre/development-guidelines,False,False,,
https://github.com/nolimits4web/swiper,True,False,https://github.com/nolimits4web/swiper,3721224
https://github.com/azure/azure-rest-api-specs,True,False,https://github.com/Azure/azure-rest-api-specs,39093389
https://github.com/nats-io/nats.net,True,False,https://github.com/nats-io/nats.net,503422934
https://github.com/azure/azure-sdk-for-python,True,False,https://github.com/Azure/azure-sdk-for-python,4127088
https://github.com/bengland2/backpack,False,False,,
https://github.com/scientific-python/blog.scientific-python.org-comments,False,False,,
https://github.com/microsoft/partner-center-billing-recon,False,False,,
https://github.com/sassoftware/edx-ora,False,False,,
https://github.com/sassoftware/rpath-xmllib,False,False,,
https://github.com/sassoftware/repodata,False,False,,
https://github.com/sassoftware/quickstart-sas-viya-gcp,False,False,,
https://github.com/sassoftware/wmiclient,False,False,,
https://github.com/sassoftware/virk,False,False,,
https://github.com/sassoftware/edx-demo-course,False,False,,
https://github.com/sassoftware/bigitr,False,False,,
https://github.com/scientific-python/nightly-wheels,False,False,,
https://github.com/sassoftware/sas-on-cf,False,False,,
https://github.com/sassoftware/quickstart-sas-viya-azure,False,False,,
https://github.com/sassoftware/restaf-graphql-demo,False,False,,
https://github.com/sassoftware/iot-enhanced-data-load-macro,False,False,,
https://github.com/grpc/grpc,True,False,https://github.com/grpc/grpc,27729880
https://github.com/cilium/cilium,True,False,https://github.com/cilium/cilium,48109239
https://github.com/distribution/distribution,True,False,https://github.com/distribution/distribution,28366058
https://github.com/daytonaio/daytona-aws-provider,False,False,,
https://github.com/hashicorp/vault,True,False,https://github.com/hashicorp/vault,31288958
https://github.com/vmware-samples/cloud-director-service-migration,True,True,https://github.com/vmware-archive/cloud-director-service-migration,543456007
https://github.com/terra-money/terra-utils,False,False,,
https://github.com/department-of-veterans-affairs/ngl_north_dakota,False,False,,
https://github.com/daytonaio/core,False,False,,
https://github.com/daytonaio/daytona-podman-provider,False,False,,
https://github.com/quantecon/book-dp1,False,False,,
https://github.com/nats-io/gnatsd,True,True,https://github.com/nats-io/nats-server,6443435
https://github.com/openrewrite/rewrite-concourse,False,False,,
https://github.com/bengland2/benchmark-operator,False,False,,
https://github.com/alphagov/notifications-paas-route-service,False,False,,
https://github.com/milvus-io/milvus,True,False,https://github.com/milvus-io/milvus,208728772
https://github.com/netflix/eslint-config-netflix-dea,False,False,,
https://github.com/worldhealthorganization/push_to_emrs,False,False,,
https://github.com/department-of-veterans-affairs/ngl_rhode_island,False,False,,
https://github.com/near/docs-generator,False,False,,
